identifier,city,state,country,openDate,distance,latitude,longitude,parentGeoNodeID,active,languageID,hasGasDepartment,hasTiresDepartment,hasFoodDepartment,hasHearingDepartment,hasPharmacyDepartment,hasOpticalDepartment,hasBusinessDepartment,hasPhotoCenterDepartment,gasPrices,locationName,isShipToWarehouse,isWarehousePickup,enableShipToHome,isBusinessWarehouse
218,STERLING,VA,US,11/17/1990,233.6270018,39.023,-77.404,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.299,Sterling,TRUE,TRUE,FALSE,FALSE
222,HAZLET,NJ,US,12/7/1991,50.15908121,40.42,-74.173,10657,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Hazlet,TRUE,TRUE,FALSE,FALSE
225,MANASSAS,VA,US,6/27/1992,216.2980253,38.787,-77.515,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.299,Manassas,TRUE,TRUE,FALSE,FALSE
226,WESTBURY,NY,US,10/24/1992,80.26910662,40.744,-73.598,10685,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Westbury,TRUE,TRUE,FALSE,FALSE
227,SPRINGFIELD,VA,US,11/7/1992,218.7876924,38.739,-77.2,10910,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Newington,TRUE,TRUE,FALSE,FALSE
230,HOLBROOK,NY,US,8/14/1993,97.97126207,40.776,-73.052,10685,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.289,Holbrook,TRUE,TRUE,FALSE,FALSE
233,ARLINGTON,VA,US,7/6/1987,229.5606276,38.862,-77.057,10910,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Pentagon City,TRUE,TRUE,FALSE,FALSE
237,MELVILLE,NY,US,9/16/1989,85.59030631,40.759,-73.422,10685,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Melville,TRUE,TRUE,FALSE,FALSE
238,HARRISONBURG,VA,US,5/4/1995,383.5581906,38.428,-78.855,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.119,Harrisonburg,TRUE,TRUE,FALSE,FALSE
239,WINCHESTER,VA,US,5/23/1995,234.3617547,39.158,-78.159,10910,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.259,Winchester,TRUE,TRUE,FALSE,FALSE
240,COMMACK,NY,US,8/25/1995,92.19104455,40.807,-73.287,10685,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Commack,TRUE,TRUE,FALSE,FALSE
241,NEW ROCHELLE,NY,US,6/3/1994,86.48863396,40.898,-73.794,10685,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.559,New Rochelle,TRUE,TRUE,FALSE,FALSE
243,LONG ISLAND CITY,NY,US,11/20/1996,75.83101148,40.767,-73.937,10685,1,-1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,Queens,TRUE,TRUE,FALSE,FALSE
244,EAST HANOVER,NJ,US,10/25/1997,77.2885727,40.812,-74.38,10657,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,East Hanover,TRUE,TRUE,FALSE,FALSE
245,KING OF PRUSSIA,PA,US,10/11/1997,117.3137635,40.091,-75.384,10789,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,King Of Prussia,TRUE,TRUE,FALSE,FALSE
