ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
MD82,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 82,Jet,2,135,149500,130000,Medium,18011,Fixed-wing,33
MD83,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 83,Jet,2,144,160000,139500,Medium,18011,Fixed-wing,89
MD87,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 87,Jet,2,134,149500,130000,Medium,15959.2,Fixed-wing,13
MD88,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 88,Jet,2,130,149500,130000,Medium,18011,Fixed-wing,72
MD90,BOEING-MCDONNELL DOUGLAS,Boeing (Douglas) MD 90,Jet,2,141,156000,137000,Medium,18570.8,Fixed-wing,38
MU2,MITSUBISHI,Mitsubishi Marquise/Solitaire,Turboprop,2,105,11574,11025,Light,2184.1,Fixed-wing,87
MU30,MITSUBISHI,Mitsubishi Diamond/MU300 Diamond,Jet,2,118,14630,13200,Medium,2856.9,Fixed-wing,29
NAVI,NORTH AMERICAN-RYAN,North American Navion,Piston,1,56,2850,2850,Light,1411.2,Fixed-wing,872
P180,PIAGGIO,Piaggio P-180 Avanti,Turboprop,2,121,12050,11500,Light,2929.3,Fixed-wing,99
P210,RILEY-CESSNA,Riley Super P210,Piston,1,75,4000,3800,Light,1620.2,Fixed-wing,458
P28A,PIPER,Piper Cherokee,Piston,1,70,2440,2130,Light,1295.6,Fixed-wing,10740
P28B,PIPER,Piper Turbo Dakota,Piston,1,62,3000,3000,Light,1337.9,Fixed-wing,62
P28R,PIPER,Cherokee Arrow,Piston,1,73,2758,2900,Light,1347,Fixed-wing,2499
P28T,PIPER,Piper 28T Arrow 4,Piston,1,73,2750,2750,Light,1347.6,Fixed-wing,439
P3,LOCKHEED,Lockheed P-3 Orion,Turboprop,4,134,135000,103880,Medium,13273.7,Fixed-wing,100
P32R,PIPER,Piper PA-32R Lance/ Saratoga SP,Piston,1,80,3600,3600,Light,1510.7,Fixed-wing,983
P32T,PIPER,Piper 32T Turbo Lance 2,Piston,1,80,3600,3600,Light,1510.7,Fixed-wing,208
P46T,PIPER,Piper Malibu Meridian,Turboprop,1,75,5092,4850,Light,1833.8,Fixed-wing,437
P51,NORTH AMERICAN,North American Mustang,Piston,1,113,12100,12100,Light,1753.1,Fixed-wing,150
P68,VULCAN- PARTEVANIA,Vulcan Air P68,Piston,2,73,4387,4167,Light,1793.2,Fixed-wing,3
